2022-06-04 22:59:47.064 [main] INFO  o.s.test.web.servlet.TestDispatcherServlet - Completed initialization in 0 ms
2022-06-04 22:59:47.092 [main] INFO  com.whalefall.learncases.valid.customvalid.Tester - Started Tester in 3.506 seconds (JVM running for 5.394)
2022-06-04 23:05:19.211 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 23:05:19.227 [main] INFO  com.whalefall.learncases.LearncasesApplication - Starting LearncasesApplication using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 748 (C:\Users\chenglong\Desktop\learncases\target\classes started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 23:05:19.227 [main] INFO  com.whalefall.learncases.LearncasesApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-04 23:05:20.564 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-04 23:05:20.578 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-04 23:05:20.579 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-04 23:05:20.579 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-04 23:05:20.767 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-04 23:05:20.767 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1487 ms
2022-06-04 23:05:20.868 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 23:05:21.316 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-06-04 23:05:21.331 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-06-04 23:05:21.353 [main] INFO  com.whalefall.learncases.LearncasesApplication - Started LearncasesApplication in 2.915 seconds (JVM running for 4.213)
2022-06-04 23:05:30.741 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-04 23:05:30.741 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-06-04 23:05:30.741 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-06-04 23:06:40.582 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 23:06:40.587 [main] INFO  com.whalefall.learncases.LearncasesApplication - Starting LearncasesApplication using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 9152 (C:\Users\chenglong\Desktop\learncases\target\classes started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 23:06:40.588 [main] INFO  com.whalefall.learncases.LearncasesApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-04 23:06:41.878 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-04 23:06:41.878 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-04 23:06:41.878 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-04 23:06:41.878 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-04 23:06:42.094 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-04 23:06:42.094 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1445 ms
2022-06-04 23:06:42.179 [main] INFO  c.w.learncases.exception.ExceptionConfiguration - Creating SimpleMappingExceptionResolver
2022-06-04 23:06:42.595 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2022-06-04 23:06:42.611 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2022-06-04 23:06:42.626 [main] INFO  com.whalefall.learncases.LearncasesApplication - Started LearncasesApplication in 2.786 seconds (JVM running for 4.088)
2022-06-04 23:06:44.705 [http-nio-8080-exec-2] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-06-04 23:06:44.705 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-06-04 23:06:44.705 [http-nio-8080-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-06-04 23:07:51.895 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-06-04 23:07:51.895 [main] INFO  com.whalefall.learncases.LearncasesApplication - Starting LearncasesApplication using Java 1.8.0_212 on DESKTOP-8EFCN0M with PID 13696 (C:\Users\chenglong\Desktop\learncases\target\classes started by chenglong in C:\Users\chenglong\Desktop\learncases)
2022-06-04 23:07:51.895 [main] INFO  com.whalefall.learncases.LearncasesApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-04 23:07:53.230 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2022-06-04 23:07:53.247 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2022-06-04 23:07:53.247 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-06-04 23:07:53.247 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
2022-06-04 23:07:53.462 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2022-06-04 23:07:53.462 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1498 ms
